From	Entry	Reviewed	Entry Name	Protein names	Organism	Length
WP_000048054.1	A0A1F0AVE0	unreviewed	A0A1F0AVE0_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC057G03	58
WP_000048054.1	A0A1F0BB83	unreviewed	A0A1F0BB83_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC077D04	58
WP_000048054.1	A0A1S1EDN2	unreviewed	A0A1S1EDN2_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC076C09	58
WP_000048054.1	A0A1F0A5D4	unreviewed	A0A1F0A5D4_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC061D10	58
WP_000048054.1	A0A1E9H9C3	unreviewed	A0A1E9H9C3_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC061D01	58
WP_000048054.1	A0A1E9GLX7	unreviewed	A0A1E9GLX7_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC073F11	58
WP_000048054.1	A0A1E9G066	unreviewed	A0A1E9G066_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC076C08	58
WP_000048054.1	A0A1E9DZD0	unreviewed	A0A1E9DZD0_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC062B01	58
WP_000048054.1	A0A1E9B5V1	unreviewed	A0A1E9B5V1_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC056C01	58
WP_000048054.1	A0A1E8ZVP8	unreviewed	A0A1E8ZVP8_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC034E03	58
WP_000048054.1	A0A1E8UVU3	unreviewed	A0A1E8UVU3_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC073D05	58
WP_000048054.1	A0A1E8TV13	unreviewed	A0A1E8TV13_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC071D03	58
WP_000048054.1	A0A1F1DM59	unreviewed	A0A1F1DM59_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC072C09	58
WP_000048054.1	A0A1F1C4V5	unreviewed	A0A1F1C4V5_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC072G04	58
WP_000048054.1	A0A1F1A2V3	unreviewed	A0A1F1A2V3_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC061E03	58
WP_000048054.1	A0A1F0YCF1	unreviewed	A0A1F0YCF1_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC078D09	58
WP_000048054.1	A0A1F0T8G3	unreviewed	A0A1F0T8G3_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC062D07	58
WP_000048054.1	A0A1F0RE49	unreviewed	A0A1F0RE49_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC056D07	58
WP_000048054.1	A0A1F0NH46	unreviewed	A0A1F0NH46_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC066E07	58
WP_000048054.1	A0A1F0NCU1	unreviewed	A0A1F0NCU1_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC067H01	58
WP_000048054.1	A0A1F0KB66	unreviewed	A0A1F0KB66_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC065E03	58
WP_000048054.1	A0A127TRU3	unreviewed	A0A127TRU3_9STRE	30S ribosomal protein S21	Streptococcus sp. A12	58
WP_000048054.1	A0A139MTU3	unreviewed	A0A139MTU3_9STRE	30S ribosomal protein S21	Streptococcus sp. DD04	58
WP_000048054.1	A0A139NC61	unreviewed	A0A139NC61_9STRE	30S ribosomal protein S21	Streptococcus sp. DD10	58
WP_000048054.1	A0A139NRA8	unreviewed	A0A139NRA8_9STRE	30S ribosomal protein S21	Streptococcus sp. DD13	58
WP_000048054.1	A0A1H0R2T2	unreviewed	A0A1H0R2T2_9STRE	30S ribosomal protein S21	Streptococcus sp. NLAE-zl-C503	58
WP_000048054.1	A0A178K596	unreviewed	A0A178K596_9STRE	30S ribosomal protein S21	Streptococcus sp. CCUG 49591	58
WP_000048054.1	A0A0F2D4G2	unreviewed	A0A0F2D4G2_STROR	30S ribosomal protein S21	Streptococcus oralis subsp. oralis	58
WP_000048054.1	A0A1E1G9Z9	unreviewed	A0A1E1G9Z9_9STRE	30S ribosomal protein S21	Streptococcus sp. NPS 308	58
WP_000048054.1	A0A6I6W7C1	unreviewed	A0A6I6W7C1_9STRE	30S ribosomal protein S21	Streptococcus sp. DAT741	58
WP_000048054.1	A0A2J9ETE5	unreviewed	A0A2J9ETE5_9STRE	30S ribosomal protein S21	Streptococcus sp. FDAARGOS_256	58
WP_000048054.1	A0A231VZI1	unreviewed	A0A231VZI1_9STRE	30S ribosomal protein S21	Streptococcus sp. KR	58
WP_000048054.1	A0A2N6PLR7	unreviewed	A0A2N6PLR7_9STRE	30S ribosomal protein S21	Streptococcus sp. UMB0029	58
WP_000048054.1	A0A426FV95	unreviewed	A0A426FV95_9STRE	30S ribosomal protein S21	Streptococcus halitosis	58
WP_000048054.1	A0A371QFP9	unreviewed	A0A371QFP9_9STRE	30S ribosomal protein S21	Streptococcus sp. NM	58
WP_000048054.1	A0A3A5SJI1	unreviewed	A0A3A5SJI1_9STRE	30S ribosomal protein S21	Streptococcus sp. AM28-20	58
WP_000048054.1	A0A3A5Q5U4	unreviewed	A0A3A5Q5U4_9STRE	30S ribosomal protein S21	Streptococcus sp. AM43-2AT	58
WP_000048054.1	A0A3P1VE49	unreviewed	A0A3P1VE49_9STRE	30S ribosomal protein S21	Streptococcus minor	58
WP_000048054.1	A0A4Q5BXG5	unreviewed	A0A4Q5BXG5_9STRE	30S ribosomal protein S21	Streptococcus sp. bf_0095	58
WP_000048054.1	A0A3S9MR76	unreviewed	A0A3S9MR76_9STRE	30S ribosomal protein S21	Streptococcus periodonticum	58
WP_000048054.1	A0A3P1VH07	unreviewed	A0A3P1VH07_9STRE	30S ribosomal protein S21	Streptococcus sp. OH4692_COT-348	58
WP_000048054.1	A0A4Y9JQ43	unreviewed	A0A4Y9JQ43_9STRE	30S ribosomal protein S21	Streptococcus sp. LYSM12	58
WP_000048054.1	A0A4R9DSH7	unreviewed	A0A4R9DSH7_9STRE	30S ribosomal protein S21	Streptococcus sp. AN2	58
WP_000048054.1	A0A4Y9FHE0	unreviewed	A0A4Y9FHE0_9STRE	30S ribosomal protein S21	Streptococcus sp. WM07	58
WP_000048054.1	A0A5B7Y6S3	unreviewed	A0A5B7Y6S3_9STRE	30S ribosomal protein S21	Streptococcus sp. 1643	58
WP_000048054.1	A0A1S9Z819	unreviewed	A0A1S9Z819_9STRE	30S ribosomal protein S21	Streptococcus pseudopneumoniae	58
WP_000048054.1	A0A7X2VJ07	unreviewed	A0A7X2VJ07_9STRE	30S ribosomal protein S21	Streptococcus sp. BIOML-A1	58
WP_000048054.1	A0A501PB47	unreviewed	A0A501PB47_9STRE	30S ribosomal protein S21	Streptococcus symci	58
WP_000048054.1	A0A501W0P6	unreviewed	A0A501W0P6_9STRE	30S ribosomal protein S21	Streptococcus sp. D2	58
WP_000048054.1	A0A501VIZ7	unreviewed	A0A501VIZ7_9STRE	30S ribosomal protein S21	Streptococcus xiaochunlingii	58
WP_000048054.1	A0A6H3S388	unreviewed	A0A6H3S388_9STRE	30S ribosomal protein S21	Streptococcus sp. 116-D4	58
WP_000048054.1	A0A7L8W5B9	unreviewed	A0A7L8W5B9_9STRE	30S ribosomal protein S21	Streptococcus sp. KS 6	58
WP_000048054.1	A0A5J6LMG3	unreviewed	A0A5J6LMG3_9STRE	30S ribosomal protein S21	Streptococcus sp. LPB0220	58
WP_000048054.1	A0A6I4REY6	unreviewed	A0A6I4REY6_9STRE	30S ribosomal protein S21	Streptococcus sp. zg-70	58
WP_000048054.1	A0A6I3IUP4	unreviewed	A0A6I3IUP4_9STRE	30S ribosomal protein S21	Streptococcus sp. zg-36	58
WP_000048054.1	A0A6I3ILG0	unreviewed	A0A6I3ILG0_9STRE	30S ribosomal protein S21	Streptococcus sp. zg-86	58
WP_000048054.1	A0A3B0BIW4	unreviewed	A0A3B0BIW4_9STRE	30S ribosomal protein S21	Streptococcus chosunense	58
WP_000048054.1	A0A7X9MDN1	unreviewed	A0A7X9MDN1_9STRE	30S ribosomal protein S21	Streptococcus sp. WB01_FAA12	58
WP_000048054.1	A0A846LJJ9	unreviewed	A0A846LJJ9_9HYPH	30S ribosomal protein S21	Agrobacterium sp. NCIB 9042	58
WP_000048054.1	A0A7G9AWA4	unreviewed	A0A7G9AWA4_9STRE	30S ribosomal protein S21	Streptococcus sp. NSJ-72	58
WP_000048054.1	A0A081QXL5	unreviewed	A0A081QXL5_STRMT	30S ribosomal protein S21	Streptococcus mitis	58
WP_000048054.1	A0A380L2R5	unreviewed	A0A380L2R5_9STRE	30S ribosomal protein S21	Streptococcus milleri	58
WP_000048054.1	D3H7X0	unreviewed	D3H7X0_STRM6	30S ribosomal protein S21	Streptococcus mitis (strain B6)	58
WP_000048054.1	A3CM46	reviewed	RS21_STRSV	30S ribosomal protein S21	Streptococcus sanguinis (strain SK36)	58
WP_000048054.1	D5AIR3	unreviewed	D5AIR3_STRGZ	30S ribosomal protein S21	Streptococcus suis (strain GZ1)	58
WP_000048054.1	A0A0F2CWU6	unreviewed	A0A0F2CWU6_STRCR	30S ribosomal protein S21	Streptococcus cristatus	58
WP_000048054.1	A8AXP8	reviewed	RS21_STRGC	30S ribosomal protein S21	Streptococcus gordonii (strain Challis / ATCC 35105 / BCRC 15272 / CH1 / DL1 / V288)	58
WP_000048054.1	D0RVA7	unreviewed	D0RVA7_9STRE	30S ribosomal protein S21	Streptococcus sp. 2_1_36FAA	58
WP_000048054.1	E9FHQ7	unreviewed	E9FHQ7_9STRE	30S ribosomal protein S21	Streptococcus sp. C300	58
WP_000048054.1	E9FMT5	unreviewed	E9FMT5_9STRE	30S ribosomal protein S21	Streptococcus sp. M334	58
WP_000048054.1	A0A0H3MWR7	unreviewed	A0A0H3MWR7_STRS4	30S ribosomal protein S21	Streptococcus suis (strain BM407)	58
WP_000048054.1	E1LLM6	unreviewed	E1LLM6_STRMT	30S ribosomal protein S21	Streptococcus mitis SK564	58
WP_000048054.1	E1LTE1	unreviewed	E1LTE1_STRMT	30S ribosomal protein S21	Streptococcus mitis SK597	58
WP_000048054.1	D4FTT4	unreviewed	D4FTT4_STROR	30S ribosomal protein S21	Streptococcus oralis ATCC 35037	58
WP_000048054.1	A0A139RFC9	unreviewed	A0A139RFC9_9STRE	30S ribosomal protein S21	Streptococcus infantis	58
WP_000048054.1	E6J3C8	unreviewed	E6J3C8_STRAP	30S ribosomal protein S21	Streptococcus anginosus F0211	58
WP_000048054.1	A0A7H8Z8N2	unreviewed	A0A7H8Z8N2_9STRE	30S ribosomal protein S21	Streptococcus sp. oral taxon 061	58
WP_000048054.1	A0A1B1IHB1	unreviewed	A0A1B1IHB1_9STRE	30S ribosomal protein S21	Streptococcus sp. oral taxon 064	58
WP_000048054.1	A0A0X8JXP4	unreviewed	A0A0X8JXP4_9STRE	30S ribosomal protein S21	Streptococcus sp. oral taxon 431	58
WP_000048054.1	A0A7X3KCF6	unreviewed	A0A7X3KCF6_9STRE	30S ribosomal protein S21	Streptococcus danieliae	58
WP_000048054.1	A0A0C1KI20	unreviewed	A0A0C1KI20_STRCV	30S ribosomal protein S21	Streptococcus constellatus	58
WP_000048054.1	F9P0J8	unreviewed	F9P0J8_STRMT	30S ribosomal protein S21	Streptococcus mitis bv. 2 str. F0392	58
WP_000048054.1	A0A380M3B8	unreviewed	A0A380M3B8_9STRE	30S ribosomal protein S21	Streptococcus viridans	58
WP_000048054.1	G6A3R7	unreviewed	G6A3R7_STRIT	30S ribosomal protein S21	Streptococcus intermedius F0395	58
WP_000048054.1	G6C949	unreviewed	G6C949_9STRE	30S ribosomal protein S21	Streptococcus sp. oral taxon 058 str. F0407	58
WP_000048054.1	T1ZDW8	unreviewed	T1ZDW8_STRIT	30S ribosomal protein S21	Streptococcus intermedius B196	58
WP_000048054.1	E0PS07	unreviewed	E0PS07_STRMT	30S ribosomal protein S21	Streptococcus mitis ATCC 6249	58
WP_000048054.1	E0Q0D5	unreviewed	E0Q0D5_9STRE	30S ribosomal protein S21	Streptococcus sp. oral taxon 071 str. 73H25AP	58
WP_000048054.1	E1M524	unreviewed	E1M524_9STRE	30S ribosomal protein S21	Streptococcus infantis SK1302	58
WP_000048054.1	E8KB43	unreviewed	E8KB43_9STRE	30S ribosomal protein S21	Streptococcus peroris ATCC 700780	58
WP_000048054.1	F0IND3	unreviewed	F0IND3_STRSA	30S ribosomal protein S21	Streptococcus sanguinis SK150	58
WP_000048054.1	E7SC68	unreviewed	E7SC68_9STRE	30S ribosomal protein S21	Streptococcus australis ATCC 700641	58
WP_000048054.1	E8JZ53	unreviewed	E8JZ53_9STRE	30S ribosomal protein S21	Streptococcus infantis ATCC 700779	58
WP_000048054.1	F9HGH2	unreviewed	F9HGH2_9STRE	30S ribosomal protein S21	Streptococcus sp. oral taxon 056 str. F0418	58
WP_000048054.1	F2QCK8	unreviewed	F2QCK8_STROU	30S ribosomal protein S21	Streptococcus oralis (strain Uo5)	58
WP_000048054.1	J4NME3	unreviewed	J4NME3_9STRE	30S ribosomal protein S21	Streptococcus sp. AS14	58
WP_000048054.1	X8HCA9	unreviewed	X8HCA9_9STRE	30S ribosomal protein S21	Streptococcus sp. AS20	58
WP_000048054.1	X8KDF6	unreviewed	X8KDF6_9STRE	30S ribosomal protein S21	Streptococcus sp. CM6	58
WP_000048054.1	F9PB71	unreviewed	F9PB71_9STRE	30S ribosomal protein S21	Streptococcus infantis X	58
WP_000048054.1	K8MLH9	unreviewed	K8MLH9_9STRE	30S ribosomal protein S21	Streptococcus sp. F0441	58
WP_000048054.1	K8MMP4	unreviewed	K8MMP4_9STRE	30S ribosomal protein S21	Streptococcus sp. F0442	58
WP_000068664.1	F9LW71	unreviewed	F9LW71_STRMT	30S ribosomal protein S18	Streptococcus mitis bv. 2 str. SK95	79
WP_000068664.1	F5VZD4	unreviewed	F5VZD4_9STRE	30S ribosomal protein S18	Streptococcus infantis SK1076	79
WP_000068664.1	F9HAP0	unreviewed	F9HAP0_STRMT	30S ribosomal protein S18	Streptococcus mitis SK1073	79
WP_000068664.1	F9HNX5	unreviewed	F9HNX5_STRMT	30S ribosomal protein S18	Streptococcus mitis SK1080	79
WP_000068664.1	A0A0U3FFY6	unreviewed	A0A0U3FFY6_9STRE	30S ribosomal protein S18	Streptococcus infantarius	79
WP_000068664.1	F9PAY9	unreviewed	F9PAY9_STRCV	30S ribosomal protein S18	Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377	79
WP_000068664.1	F9M402	unreviewed	F9M402_STRPA	30S ribosomal protein S18	Streptococcus parasanguinis SK236	79
WP_000068664.1	F9MH43	unreviewed	F9MH43_STRMT	30S ribosomal protein S18	Streptococcus mitis SK569	79
WP_000068664.1	F9PW15	unreviewed	F9PW15_9STRE	30S ribosomal protein S18	Streptococcus infantis SK970	79
WP_000068664.1	G0IB75	unreviewed	G0IB75_STRES	30S ribosomal protein S18	Streptococcus pseudopneumoniae (strain IS7493)	79
WP_000068664.1	V8BD39	unreviewed	V8BD39_STRPA	30S ribosomal protein S18	Streptococcus parasanguinis CC87K	79
WP_000068664.1	S5RK10	unreviewed	S5RK10_9STRE	30S ribosomal protein S18	Streptococcus lutetiensis 033	79
WP_000068664.1	A0A0F2E2K5	unreviewed	A0A0F2E2K5_STROR	30S ribosomal protein S18	Streptococcus oralis subsp. tigurinus	79
WP_000068664.1	I2J979	unreviewed	I2J979_9STRE	30S ribosomal protein S18	Streptococcus sp. SK140	79
WP_000068664.1	I0SA25	unreviewed	I0SA25_STRAP	30S ribosomal protein S18	Streptococcus anginosus subsp. whileyi CCUG 39159	79
WP_000068664.1	I0X1T3	unreviewed	I0X1T3_STRIS	30S ribosomal protein S18	Streptococcus intermedius (strain ATCC 27335 / DSM 20573 / CCUG 32759 / CIP 103248 / JCM 12996 / LMG 17840 / NCTC 11324 / SK54 / 1877)	79
WP_000068664.1	I2NPR1	unreviewed	I2NPR1_STRPA	30S ribosomal protein S18	Streptococcus parasanguinis F0449	79
WP_000068664.1	I0S5E9	unreviewed	I0S5E9_STRMT	30S ribosomal protein S18	Streptococcus mitis SK616	79
WP_000068664.1	I0T248	unreviewed	I0T248_STRMT	30S ribosomal protein S18	Streptococcus mitis SK575	79
WP_000068664.1	I0T6Q2	unreviewed	I0T6Q2_STRMT	30S ribosomal protein S18	Streptococcus mitis SK579	79
WP_000068664.1	I0STU0	unreviewed	I0STU0_STROR	30S ribosomal protein S18	Streptococcus oralis SK1074	79
WP_000068664.1	I0Q0J8	unreviewed	I0Q0J8_STROR	30S ribosomal protein S18	Streptococcus oralis SK610	79
WP_000068664.1	J4NMM8	unreviewed	J4NMM8_9STRE	30S ribosomal protein S18	Streptococcus sp. BS35b	79
WP_000068664.1	A0A1L7LHE9	unreviewed	A0A1L7LHE9_9STRE	30S ribosomal protein S18	Streptococcus troglodytae	79
WP_000068664.1	I1ZNN2	unreviewed	I1ZNN2_STRPA	30S ribosomal protein S18	Streptococcus parasanguinis FW213	79
WP_000068664.1	A0A3R9L561	unreviewed	A0A3R9L561_9STRE	30S ribosomal protein S18	Streptococcus australis	79
WP_000068664.1	U5P521	unreviewed	U5P521_9STRE	30S ribosomal protein S18	Streptococcus ilei	79
WP_000068664.1	I0QH53	unreviewed	I0QH53_STRSL	30S ribosomal protein S18	Streptococcus salivarius PS4	79
WP_000068664.1	A0A829BMN8	unreviewed	A0A829BMN8_STREE	30S ribosomal protein S18	Streptococcus pneumoniae PCS70012	79
WP_000068664.1	J0YJ98	unreviewed	J0YJ98_9STRE	30S ribosomal protein S18	Streptococcus infantis SPAR10	79
WP_000068664.1	X8K8Y3	unreviewed	X8K8Y3_9STRE	30S ribosomal protein S18	Streptococcus sp. SR1	79
WP_000068664.1	J4K8F8	unreviewed	J4K8F8_STROR	30S ribosomal protein S18	Streptococcus oralis SK304	79
WP_000068664.1	U2YGM8	unreviewed	U2YGM8_STRAP	30S ribosomal protein S18	Streptococcus anginosus T5	79
WP_000068664.1	K0ZV46	unreviewed	K0ZV46_9STRE	30S ribosomal protein S18	Streptococcus sp. GMD4S	79
WP_000068664.1	K1A6U1	unreviewed	K1A6U1_9STRE	30S ribosomal protein S18	Streptococcus sp. GMD6S	79
WP_000068664.1	S3B0F8	unreviewed	S3B0F8_9STRE	30S ribosomal protein S18	Streptococcus sp. HPH0090	79
WP_000068664.1	A0A4Z1DUV8	unreviewed	A0A4Z1DUV8_9STRE	30S ribosomal protein S18	Streptococcus rubneri	79
WP_000068664.1	R0N567	unreviewed	R0N567_STRMT	30S ribosomal protein S18	Streptococcus mitis 11/5	79
WP_000068664.1	R0ME03	unreviewed	R0ME03_STRMT	30S ribosomal protein S18	Streptococcus mitis 13/39	79
WP_000068664.1	A0A1S5WEL4	unreviewed	A0A1S5WEL4_STRGY	30S ribosomal protein S18	Streptococcus gallolyticus subsp. gallolyticus DSM 16831	79
WP_000068664.1	A0A091BRP6	unreviewed	A0A091BRP6_STREI	30S ribosomal protein S18	Streptococcus equinus JB1	79
WP_000068664.1	A0A0F3HQ77	unreviewed	A0A0F3HQ77_STRGN	30S ribosomal protein S18	Streptococcus gordonii	79
WP_000068664.1	A0A081R4P7	unreviewed	A0A081R4P7_STROR	30S ribosomal protein S18	Streptococcus oralis	79
WP_000068664.1	A0A1C7CUR5	unreviewed	A0A1C7CUR5_STRSL	30S ribosomal protein S18	Streptococcus salivarius	79
WP_000068664.1	A0A2X3YSQ2	unreviewed	A0A2X3YSQ2_STRSA	30S ribosomal protein S18	Streptococcus sanguinis	79
WP_000068664.1	A0A2J9QCI5	unreviewed	A0A2J9QCI5_STRMG	30S ribosomal protein S18	Streptococcus mutans	79
WP_000068664.1	A0A064C265	unreviewed	A0A064C265_STREE	30S ribosomal protein S18	Streptococcus pneumoniae	79
WP_000068664.1	T0V3H4	unreviewed	T0V3H4_9STRE	30S ribosomal protein S18	Streptococcus sp. HSISM1	79
WP_000068664.1	T0TB89	unreviewed	T0TB89_9STRE	30S ribosomal protein S18	Streptococcus sp. HSISB1	79
WP_000068664.1	T0TKZ3	unreviewed	T0TKZ3_9STRE	30S ribosomal protein S18	Streptococcus sp. HSISS2	79
